name,rarity,type,set,quantity,value
Ursula - Vanessa,Common,Normal,UrsulaReturns,2,0
Vitalisphere,Common,Normal,UrsulaReturns,1,0.09
Rose Lantern,Common,Normal,UrsulaReturns,2,0.04
Hidden Cove - Tranquil Haven,Common,Normal,UrsulaReturns,1,0.13
Olaf - Trusting Companion,Common,Normal,UrsulaReturns,1,0.05
Yao - Imperial Soldier,Common,Normal,UrsulaReturns,1,0.06
Flotsam & Jetsam - Entangling Eels,Uncommon,Normal,UrsulaReturns,1,0.05
Megara - Liberated One,Uncommon,Normal,UrsulaReturns,1,0.05
Aladdin - Brave Rescuer,Uncommon,Normal,UrsulaReturns,1,0.07
Triton - Discerning King,Rare,Normal,UrsulaReturns,1,0.16
Prince Phillip - Vanquisher of Foes,Super Rare,Normal,UrsulaReturns,1,0.24
Isabela Madrigal - Golden Child,Rare,Cold Foil,UrsulaReturns,1,0.91
Li Shang - General's Son,Common,Normal,UrsulaReturns,1,0.04
Magic Broom - Illuminary Keeper,Common,Normal,UrsulaReturns,1,0.23
Hidden Inkcaster,Common,Normal,UrsulaReturns,1,0.11
Hans - Noble Scoundrel,Common,Normal,UrsulaReturns,1,0.07
Prince Eric - Seafaring Prince,Common,Normal,UrsulaReturns,1,0.06
Beast - Thick-Skinned,Common,Normal,UrsulaReturns,1,0.05
Felix Madrigal - Fun-loving Family Man,Uncommon,Normal,UrsulaReturns,1,0.06
Nessus - River Guardian,Uncommon,Normal,UrsulaReturns,1,0.03
Olaf - Carrot Enthusiast,Uncommon,Normal,UrsulaReturns,1,0.04
We don't talk about bruno,Rare,Normal,UrsulaReturns,1,0.9
Piglet - Sturdy Swordsman,Legendary,Normal,UrsulaReturns,1,0.69
Lefou - Opportunistic Flunky,Rare,Cold Foil,UrsulaReturns,1,0.49
Pegasus - Flying Steed,Common,Normal,UrsulaReturns,1,0.08
Belle - Untrained Mystic,Common,Normal,UrsulaReturns,1,0.05
Gus - Champion of Cheese,Common,Normal,UrsulaReturns,1,0.03
Ice Block,Common,Normal,UrsulaReturns,1,0.07
Agustin Madrigal - Clumsy Dad,Common,Normal,UrsulaReturns,1,0.03
Ariel - Determined Mermaid,Common,Normal,UrsulaReturns,1,0.07
Triton's Trident,Uncommon,Normal,UrsulaReturns,1,0.04
Pain - Immortal Sidekick,Uncommon,Normal,UrsulaReturns,1,0.04
Bruno's Return,Uncommon,Normal,UrsulaReturns,1,0.06
Hercules - Beloved Hero,Rare,Normal,UrsulaReturns,1,0.18
Minnie Mouse - Musketeer Champion,Super Rare,Normal,UrsulaReturns,1,0.17
Signed Contract,Uncommon,Cold Foil,UrsulaReturns,1,0.27
