card_name,rarity,card_type,set
Lillie's Comfey,Common,Normal,Journey Together
Sentret,Common,Normal,Journey Together
Cufant,Common,Normal,Journey Together
Lombre,Common,Normal,Journey Together
Hop's Sandaconda,Uncommon,Normal,Journey Together
Copperajah,Uncommon,Normal,Journey Together
N's Castle,Uncommon,Normal,Journey Together
Shuppet,Common,Reverse,Journey Together
Lycanroc,Rare,Reverse,Journey Together
Blaziken Ex,Double Rare,Holofoil,Journey Together
Water Energy,Energy,Normal,Stellar Crown
